Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version
AZ628,29,COLO-824,906812,BRCA,breast,breast,2.6292539628029,0.946950754968813,4,0.077054862616485,0.592864045035863,GDSC1
AZ628,29,DU-4475,906844,BRCA,breast,breast,-3.39685842350839,0.184301123374821,4,0.06195376312447,-2.80741703401492,GDSC1
AZ628,29,EVSA-T,906862,BRCA,breast,breast,3.5903784598704,0.988127111449036,4,0.023528776655658,1.13518606501918,GDSC1
AZ628,29,MRK-nu-1,908151,BRCA,breast,breast,1.6661963474817,0.886064477653326,4,0.144345369248778,0.049451247947798,GDSC1
AZ628,29,OCUB-M,909256,BRCA,breast,breast,2.23942134614915,0.957059512399995,4,0.116097339691076,0.372897939953645,GDSC1
AZ628,29,UACC-812,910910,BRCA,breast,breast,3.61768251039704,0.975691590609055,4,0.055952765520694,1.15059258923172,GDSC1
AZ628,29,MFM-223,910948,BRCA,breast,breast,4.34125481498333,0.98456558995316,4,0.033031574985855,1.55887392533803,GDSC1
AZ628,29,CAL-148,924106,BRCA,breast,breast,3.65531527242909,0.9883930910852,4,0.028900353073682,1.17182716975177,GDSC1
AZ628,29,BT-474,946359,BRCA,breast,breast,3.85150586834692,0.974092359715995,4,0.021245500799804,1.28252924903965,GDSC1
AZ628,29,HCC1500,1303900,BRCA,breast,breast,2.35003043177599,0.935748401245846,4,0.066319958389508,0.435309982231913,GDSC1
Sorafenib,30,HCC1187,749711,BRCA,breast,breast,1.74710073180797,0.92002567233196,4,0.096339705401358,-0.262685863000807,GDSC1
Sorafenib,30,HCC1599,749713,BRCA,breast,breast,2.8444979075486,0.960821299822647,4,0.087728062807169,0.66799136341782,GDSC1
Sorafenib,30,HCC2157,749715,BRCA,breast,breast,2.01469997170573,0.916436770541037,4,0.112915582779626,-0.03574112149307,GDSC1
Sorafenib,30,HCC2218,749716,BRCA,breast,breast,0.950862139181224,0.7830107541908,4,0.106945971072732,-0.937957443186173,GDSC1
Sorafenib,30,COLO-824,906812,BRCA,breast,breast,2.68391918114901,0.949254594290088,4,0.160037401402758,0.531808250310624,GDSC1
Sorafenib,30,DU-4475,906844,BRCA,breast,breast,0.86163672735527,0.845149007449495,4,0.221634258435772,-1.01362745641379,GDSC1
Sorafenib,30,EVSA-T,906862,BRCA,breast,breast,1.61296352140441,0.91080322350199,4,0.094788290597781,-0.376444536430658,GDSC1
Sorafenib,30,MRK-nu-1,908151,BRCA,breast,breast,1.33364474461304,0.857974569641138,4,0.147038745909453,-0.613328346793477,GDSC1
Sorafenib,30,OCUB-M,909256,BRCA,breast,breast,1.28010714900744,0.889895566739707,4,0.16912126286475,-0.658732346447215,GDSC1
Sorafenib,30,UACC-812,910910,BRCA,breast,breast,1.86790858877665,0.902101352720803,4,0.148008766160046,-0.160231506694206,GDSC1
Sorafenib,30,MFM-223,910948,BRCA,breast,breast,3.00622498560023,0.954550974219379,4,0.058986546393407,0.805148367067202,GDSC1
Sorafenib,30,CAL-148,924106,BRCA,breast,breast,1.79640730469053,0.922839371770881,4,0.072909215205387,-0.220870096103488,GDSC1
Sorafenib,30,BT-474,946359,BRCA,breast,breast,2.94535362596895,0.948270078249998,4,0.072460500288959,0.75352477134241,GDSC1
Sorafenib,30,HCC1500,1303900,BRCA,breast,breast,2.2546473843135,0.930688246928837,4,0.210247884757276,0.167752743252313,GDSC1
Tozasertib,32,HCC1187,749711,BRCA,breast,breast,-0.093200777545832,0.804995426908687,2,0.173890917990882,-0.634874642738314,GDSC1
Tozasertib,32,HCC1599,749713,BRCA,breast,breast,-0.789443306519837,0.697480737314869,2,0.180531822487773,-1.00021654368088,GDSC1
Tozasertib,32,HCC2157,749715,BRCA,breast,breast,2.49719929964206,0.968161856870964,2,0.02685395537099,0.72439550956939,GDSC1
Tozasertib,32,HCC2218,749716,BRCA,breast,breast,3.47375378164269,0.964236795617498,2,0.117345039373554,1.2368265317792,GDSC1
Tozasertib,32,COLO-824,906812,BRCA,breast,breast,2.84847693498792,0.975416057768021,2,0.084783711324958,0.908722714121203,GDSC1
Tozasertib,32,DU-4475,906844,BRCA,breast,breast,0.488935848841829,0.880388574533404,2,0.140408937801647,-0.329407951402799,GDSC1
Tozasertib,32,EVSA-T,906862,BRCA,breast,breast,2.2428643542216,0.975767361407456,2,0.010641836727248,0.590937398969678,GDSC1
Tozasertib,32,MRK-nu-1,908151,BRCA,breast,breast,0.787412553361415,0.870923267351319,2,0.253638259091136,-0.172787173328598,GDSC1
Tozasertib,32,OCUB-M,909256,BRCA,breast,breast,-2.69579427326372,0.396292175413593,2,0.176779115698887,-2.00054309236247,GDSC1
Tozasertib,32,MFM-223,910948,BRCA,breast,breast,3.91678477680657,0.98767295297171,2,0.05247582125894,1.46929981402492,GDSC1
Tozasertib,32,CAL-148,924106,BRCA,breast,breast,1.75240144204783,0.958398305453018,2,0.186354930584746,0.333574992597512,GDSC1
Tozasertib,32,BT-474,946359,BRCA,breast,breast,3.20091506784636,0.974942866139491,2,0.051084922356255,1.09365887079766,GDSC1
Imatinib,34,HCC1187,749711,BRCA,breast,breast,2.66648880207644,0.984302028539674,2,0.057384467982689,-0.072691799907224,GDSC1
Imatinib,34,HCC1599,749713,BRCA,breast,breast,2.63357483018393,0.97462324541794,2,0.138856044757639,-0.104968952869121,GDSC1
Imatinib,34,HCC2157,749715,BRCA,breast,breast,3.40272141328923,0.985788254511347,2,0.028433874432526,0.649296196110262,GDSC1
Imatinib,34,HCC2218,749716,BRCA,breast,breast,3.15480188955121,0.956237039120402,2,0.063709575214128,0.406173414816503,GDSC1
Imatinib,34,COLO-824,906812,BRCA,breast,breast,2.69714558920962,0.97197189550536,2,0.080161512232397,-0.042628159734918,GDSC1
Imatinib,34,DU-4475,906844,BRCA,breast,breast,2.51775152612204,0.9858800141648,2,0.124013655719317,-0.218551309746818,GDSC1
Imatinib,34,EVSA-T,906862,BRCA,breast,breast,2.95982655646885,0.988924502350812,2,0.025766600872927,0.214970460938806,GDSC1
Imatinib,34,MRK-nu-1,908151,BRCA,breast,breast,2.81692101639719,0.972707959295138,2,0.1405095063174,0.07482985466197,GDSC1
