cell_line_name,genetic_feature,is_mutated
HL-60,CDKN2A_mut,1
HL-60,CREBBP_mut,0
HL-60,DNMT3A_mut,0
HL-60,EP300_mut,0
HL-60,EZH2_mut,0
HL-60,FBXW7_mut,0
HL-60,FLT3_mut,0
HL-60,KRAS_mut,0
HL-60,MAP3K1_mut,0
HL-60,NF1_mut,0
HL-60,NOTCH1_mut,0
HL-60,NPM1_mut,0
HL-60,NRAS_mut,1
HL-60,PML.RARA_mut,0
HL-60,PTEN_mut,0
HL-60,PTPN11_mut,0
HL-60,RUNX1.RUNX1T1_mut,0
HL-60,SACS_mut,0
HL-60,STAG2_mut,0
HL-60,TET2_mut,0
HL-60,TP53_mut,0
HL-60,U2AF1_mut,0
KASUMI-1,ARID1A_mut,0
KASUMI-1,ASXL1_mut,1
KASUMI-1,BCOR_mut,0
KASUMI-1,CDKN2A_mut,0
KASUMI-1,CREBBP_mut,0
KASUMI-1,DNMT3A_mut,0
KASUMI-1,EP300_mut,0
KASUMI-1,EZH2_mut,0
KASUMI-1,FBXW7_mut,0
KASUMI-1,FLT3_mut,0
KASUMI-1,KRAS_mut,0
KASUMI-1,MAP3K1_mut,0
KASUMI-1,NF1_mut,0
KASUMI-1,NOTCH1_mut,0
KASUMI-1,NPM1_mut,0
KASUMI-1,NRAS_mut,0
KASUMI-1,PML.RARA_mut,0
KASUMI-1,PTEN_mut,0
KASUMI-1,PTPN11_mut,0
KASUMI-1,RUNX1.RUNX1T1_mut,1
KASUMI-1,SACS_mut,0
KASUMI-1,STAG2_mut,0
KASUMI-1,TET2_mut,0
KASUMI-1,TP53_mut,1
KASUMI-1,U2AF1_mut,0
KG-1,ARID1A_mut,0
KG-1,ASXL1_mut,0
KG-1,BCOR_mut,0
KG-1,CDKN2A_mut,0
KG-1,CREBBP_mut,0
KG-1,DNMT3A_mut,0
KG-1,EP300_mut,0
KG-1,EZH2_mut,0
KG-1,FBXW7_mut,0
KG-1,FLT3_mut,0
KG-1,KRAS_mut,0
KG-1,MAP3K1_mut,0
KG-1,NF1_mut,0
KG-1,NOTCH1_mut,0
KG-1,NPM1_mut,0
KG-1,NRAS_mut,0
KG-1,PML.RARA_mut,0
KG-1,PTEN_mut,0
KG-1,PTPN11_mut,0
KG-1,RUNX1.RUNX1T1_mut,0
KG-1,SACS_mut,0
KG-1,STAG2_mut,0
KG-1,TET2_mut,0
KG-1,TP53_mut,1
KG-1,U2AF1_mut,0
KMOE-2,ARID1A_mut,0
KMOE-2,ASXL1_mut,0
KMOE-2,BCOR_mut,0
KMOE-2,CDKN2A_mut,0
KMOE-2,CREBBP_mut,0
KMOE-2,DNMT3A_mut,0
KMOE-2,EP300_mut,0
KMOE-2,EZH2_mut,0
KMOE-2,FBXW7_mut,0
KMOE-2,FLT3_mut,0
KMOE-2,KRAS_mut,0
KMOE-2,MAP3K1_mut,0
KMOE-2,NF1_mut,0
KMOE-2,NOTCH1_mut,0
KMOE-2,NPM1_mut,0
KMOE-2,NRAS_mut,1
KMOE-2,PML.RARA_mut,0
KMOE-2,PTEN_mut,0
KMOE-2,PTPN11_mut,0
KMOE-2,RUNX1.RUNX1T1_mut,0
KMOE-2,SACS_mut,0
KMOE-2,STAG2_mut,0
KMOE-2,TET2_mut,0
KMOE-2,TP53_mut,1
KMOE-2,U2AF1_mut,0
KY821,ARID1A_mut,0
KY821,ASXL1_mut,0
KY821,BCOR_mut,0
KY821,CDKN2A_mut,0
KY821,CREBBP_mut,0
KY821,DNMT3A_mut,0
KY821,EP300_mut,0
KY821,EZH2_mut,0
KY821,FBXW7_mut,0
KY821,FLT3_mut,0
KY821,KRAS_mut,0
KY821,MAP3K1_mut,0
KY821,NF1_mut,0
KY821,NOTCH1_mut,0
KY821,NPM1_mut,0
KY821,NRAS_mut,1
KY821,PML.RARA_mut,0
KY821,PTEN_mut,0
KY821,PTPN11_mut,0
KY821,RUNX1.RUNX1T1_mut,0
KY821,SACS_mut,0
KY821,STAG2_mut,0
KY821,TET2_mut,0
KY821,TP53_mut,1
KY821,U2AF1_mut,0
ME-1,ARID1A_mut,0
ME-1,ASXL1_mut,0
ME-1,BCOR_mut,0
ME-1,CDKN2A_mut,0
ME-1,CREBBP_mut,0
ME-1,DNMT3A_mut,0
ME-1,EP300_mut,0
ME-1,EZH2_mut,0
ME-1,FBXW7_mut,0
ME-1,FLT3_mut,0
ME-1,KRAS_mut,0
ME-1,MAP3K1_mut,0
ME-1,NF1_mut,0
ME-1,NOTCH1_mut,0
ME-1,NPM1_mut,0
ME-1,NRAS_mut,1
ME-1,PML.RARA_mut,0
ME-1,PTEN_mut,0
ME-1,PTPN11_mut,0
ME-1,RUNX1.RUNX1T1_mut,0
ME-1,SACS_mut,0
ME-1,STAG2_mut,0
ME-1,TET2_mut,0
ME-1,TP53_mut,1
ME-1,U2AF1_mut,0
ML-2,ARID1A_mut,0
ML-2,ASXL1_mut,0
ML-2,BCOR_mut,0
ML-2,CDKN2A_mut,0
ML-2,CREBBP_mut,1
ML-2,DNMT3A_mut,0
ML-2,EP300_mut,0
ML-2,EZH2_mut,0
ML-2,FBXW7_mut,0
ML-2,FLT3_mut,0
ML-2,KRAS_mut,1
ML-2,MAP3K1_mut,0
ML-2,NF1_mut,0
ML-2,NOTCH1_mut,1
ML-2,NPM1_mut,0
ML-2,NRAS_mut,0
ML-2,PML.RARA_mut,0
ML-2,PTEN_mut,0
ML-2,PTPN11_mut,0
ML-2,RUNX1.RUNX1T1_mut,0
ML-2,SACS_mut,0
ML-2,STAG2_mut,0
ML-2,TET2_mut,0
ML-2,TP53_mut,0
ML-2,U2AF1_mut,0
MOLM-13,ARID1A_mut,0
